,Question ID,Similar Question ID,Question Title
0,1,15,Two Sum
1,1,18,Two Sum
2,1,167,Two Sum
3,1,170,Two Sum
4,1,560,Two Sum
5,1,653,Two Sum
6,1,1083,Two Sum
7,1,1798,Two Sum
8,1,1830,Two Sum
9,1,2116,Two Sum
10,1,2133,Two Sum
11,1,2320,Two Sum
12,2,43,Add Two Numbers
13,2,67,Add Two Numbers
14,2,371,Add Two Numbers
15,2,415,Add Two Numbers
16,2,445,Add Two Numbers
17,2,1031,Add Two Numbers
18,2,1774,Add Two Numbers
19,3,159,Longest Substring Without Repeating Characters
20,3,340,Longest Substring Without Repeating Characters
21,3,1034,Longest Substring Without Repeating Characters
22,3,1813,Longest Substring Without Repeating Characters
23,3,2209,Longest Substring Without Repeating Characters
24,5,214,Longest Palindromic Substring
25,5,266,Longest Palindromic Substring
26,5,336,Longest Palindromic Substring
27,5,516,Longest Palindromic Substring
28,5,647,Longest Palindromic Substring
29,7,8,Reverse Integer
30,7,190,Reverse Integer
31,7,2238,Reverse Integer
32,8,7,String to Integer (atoi)
33,8,65,String to Integer (atoi)
34,8,2168,String to Integer (atoi)
35,9,234,Palindrome Number
36,9,1375,Palindrome Number
37,10,44,Regular Expression Matching
38,11,42,Container With Most Water
39,12,13,Integer to Roman
40,12,273,Integer to Roman
41,13,12,Roman to Integer
42,15,1,3Sum
43,15,16,3Sum
44,15,18,3Sum
45,15,259,3Sum
46,16,15,3Sum Closest
47,16,259,3Sum Closest
48,17,22,Letter Combinations of a Phone Number
49,17,39,Letter Combinations of a Phone Number
50,17,401,Letter Combinations of a Phone Number
51,18,1,4Sum
52,18,15,4Sum
53,18,454,4Sum
54,18,2122,4Sum
55,19,528,Remove Nth Node From End of List
56,19,1618,Remove Nth Node From End of List
57,19,2216,Remove Nth Node From End of List
58,20,22,Valid Parentheses
59,20,32,Valid Parentheses
60,20,301,Valid Parentheses
61,20,1045,Valid Parentheses
62,20,2221,Valid Parentheses
63,21,23,Merge Two Sorted Lists
64,21,88,Merge Two Sorted Lists
65,21,148,Merge Two Sorted Lists
66,21,244,Merge Two Sorted Lists
67,21,1774,Merge Two Sorted Lists
68,21,2071,Merge Two Sorted Lists
69,22,17,Generate Parentheses
70,22,20,Generate Parentheses
71,22,2221,Generate Parentheses
72,23,21,Merge k Sorted Lists
73,23,264,Merge k Sorted Lists
74,24,25,Swap Nodes in Pairs
75,24,528,Swap Nodes in Pairs
76,25,24,Reverse Nodes in k-Group
77,25,528,Reverse Nodes in k-Group
78,25,2196,Reverse Nodes in k-Group
79,26,27,Remove Duplicates from Sorted Array
80,26,80,Remove Duplicates from Sorted Array
81,27,26,Remove Element
82,27,203,Remove Element
83,27,283,Remove Element
84,28,214,Implement strStr()
85,28,459,Implement strStr()
86,30,76,Substring with Concatenation of All Words
87,31,46,Next Permutation
88,31,47,Next Permutation
89,31,60,Next Permutation
90,31,267,Next Permutation
91,31,1978,Next Permutation
92,32,20,Longest Valid Parentheses
93,33,81,Search in Rotated Sorted Array
94,33,153,Search in Rotated Sorted Array
95,33,2273,Search in Rotated Sorted Array
96,34,278,Find First and Last Position of Element in Sorted Array
97,34,2165,Find First and Last Position of Element in Sorted Array
98,34,2210,Find First and Last Position of Element in Sorted Array
99,35,278,Search Insert Position
100,36,37,Valid Sudoku
101,36,2254,Valid Sudoku
102,37,36,Sudoku Solver
103,37,1022,Sudoku Solver
104,38,271,Count and Say
105,38,443,Count and Say
